id	disciplina
270	5A.44.2 - PATOLOGIA RADIOLÓGICA
271	5A.44.2 - TÉCNICAS PARA INCIDÊNCIAS RADIOLÓGICAS II
272	5A.44.2 - EXAMES CONTRASTADOS E PRIMEIROS SOCORROS  
273	1A.17 - PROJETO INTEGRADOR: COMUNICAÇÃO JURÍDICA
274	1A.17 - DIREITO PRIVADO (CIVIL I E FATOS JURÍDICOS)
275	1A.17 - HISTÓRIA DO DIREITO E FILOSOFIA JURÍDICA
276	1A.17 - INTRODUÇÃO AO ESTUDO DO DIREITO
277	1A.17 - CIÊNCIA POLÍTICA 
278	1B.17 - PROJETO INTEGRADOR: COMUNICAÇÃO JURÍDICA
279	1B.17 - HISTÓRIA DO DIREITO E FILOSOFIA JURÍDICA
280	1B.17 - DIREITO PRIVADO (CIVIL I E FATOS JURÍDICOS)
281	1B.17 - INTRODUÇÃO AO ESTUDO DO DIREITO
282	1B.17 - CIÊNCIA POLÍTICA 
283	5A.17 - DIREITO PENAL : LEGISLAÇÃO ESPECIAL
284	5A.17 - DIREITO DO DESENVOLVIMENTO REGIONAL – INDÍGENA
285	5A.17 - DIREITO PROCESSUAL PENAL : PARTE GERAL I
286	5A.17 - DIREITO CONSTITUCIONAL: ORDENS E CONTROLE DE CONSTITUCIONALIDADE
287	5A.17 - DIREITO PROCESSUAL CIVIL: PARTE GERAL II 
288	5A.17 - DIREITO CIVIL: CONTRATOS
289	5B.17 - DIREITO PENAL : LEGISLAÇÃO ESPECIAL
290	5B.17 - DIREITO DO DESENVOLVIMENTO REGIONAL – INDÍGENA
291	5B.17 - DIREITO PROCESSUAL PENAL : PARTE GERAL I
292	5B.17 - DIREITO CONSTITUCIONAL: ORDENS E CONTROLE DE CONSTITUCIONALIDADE
293	5B.17 - DIREITO PROCESSUAL CIVIL: PARTE GERAL II 
294	5B.17 - DIREITO CIVIL: CONTRATOS
295	5D.17 - DIREITO PENAL : LEGISLAÇÃO ESPECIAL
296	5D.17 - DIREITO PROCESSUAL CIVIL: PARTE GERAL II 
297	5D.17 - DIREITO CIVIL: CONTRATOS
298	5D.17 - DIREITO DO DESENVOLVIMENTO REGIONAL – INDÍGENA
299	5D.17 - DIREITO PROCESSUAL PENAL : PARTE GERAL I
300	5D.17 - DIREITO CONSTITUCIONAL: ORDENS E CONTROLE DE CONSTITUCIONALIDADE
301	7A.17 - DIREITO PROCESSUAL PENAL: PROCEDIMENTO COMUM E TRIBUNAL DO JÚRI
302	7A.17 - DIREITO PROCESSUAL CIVIL: EXECUÇÕES
303	7A.17 - PRÁTICA PROCESSUAL CIVIL PROCEDIMENTO COMUM E RECURSOS
304	7A.17 - DIREITO DO TRABALHO INDIVIDUAL E COLETIVO
305	7A.17 - DIREITO CIVIL: FAMÍLIA
306	7C.17 - DIREITO PROCESSUAL PENAL: PROCEDIMENTO COMUM E TRIBUNAL DO JÚRI
